Slug,Name,League,LeagueSlug,Country
Manchester_City_F.C.,Manchester City F.C.,Premier League,Premier_League,England
FC_Bayern_Munich,FC Bayern Munich,Bundesliga,Bundesliga,Germany
Chelsea_F.C.,Chelsea F.C.,Premier League,Premier_League,England
PSV_Eindhoven,PSV Eindhoven,Eredivisie,Eredivisie,Netherlands
Manchester_United_F.C.,Manchester United F.C.,Premier League,Premier_League,England
S.L._Benfica,S.L. Benfica,Primeira Liga,Primeira_Liga,Portugal
Real_Madrid_CF,Real Madrid CF,La Liga,La_Liga,Spain
Arsenal_F.C.,Arsenal F.C.,Premier League,Premier_League,England
Borussia_Dortmund,Borussia Dortmund,Bundesliga,Bundesliga,Germany
AFC_Ajax,AFC Ajax,Eredivisie,Eredivisie,Netherlands
FC_Barcelona,FC Barcelona,La Liga,La_Liga,Spain
TSG_1899_Hoffenheim,TSG 1899 Hoffenheim,Bundesliga,Bundesliga,Germany
AS_Roma,AS Roma,Serie A,Serie_A,Italy
Atl%C3%A9tico_Madrid,Atlético Madrid,La Liga,La_Liga,Spain
Olympique_de_Marseille,Olympique de Marseille,Ligue 1,Ligue_1,France
RB_Leipzig,RB Leipzig,Bundesliga,Bundesliga,Germany
AC_Milan,AC Milan,Serie A,Serie_A,Italy
Villarreal_CF,Villarreal CF,La Liga,La_Liga,Spain
Bayer_04_Leverkusen,Bayer 04 Leverkusen,Bundesliga,Bundesliga,Germany
Club_Brugge_KV,Club Brugge KV,Belgian Pro League,Belgian_Pro_League,Belgium
Nottingham_Forest_F.C.,Nottingham Forest F.C.,Premier League,Premier_League,England
Brighton_%26_Hove_Albion_F.C.,Brighton & Hove Albion F.C.,Premier League,Premier_League,England
Wolverhampton_Wanderers_F.C.,Wolverhampton Wanderers F.C.,EFL Championship,EFL_Championship,England
FC_Schalke_04,FC Schalke 04,Bundesliga,Bundesliga,Germany
Lille_OSC,Lille OSC,Ligue 1,Ligue_1,France
Eintracht_Frankfurt,Eintracht Frankfurt,Bundesliga,Bundesliga,Germany
FC_Porto,FC Porto,Primeira Liga,Primeira_Liga,Portugal
Fenerbah%C3%A7e_S.K._(football),Fenerbahçe S.K. (football),Süper Lig,S%C3%BCper_Lig,Turkey
Feyenoord,Feyenoord,Eredivisie,Eredivisie,Netherlands
FC_Red_Bull_Salzburg,FC Red Bull Salzburg,Austrian Bundesliga,Austrian_Football_Bundesliga,Austria
Paris_Saint-Germain_FC,Paris Saint-Germain FC,Ligue 1,Ligue_1,France
Crystal_Palace_F.C.,Crystal Palace F.C.,Premier League,Premier_League,England
Aston_Villa_F.C.,Aston Villa F.C.,Premier League,Premier_League,England
Olympique_Lyonnais,Olympique Lyonnais,Ligue 1,Ligue_1,France
VfB_Stuttgart,VfB Stuttgart,Bundesliga,Bundesliga,Germany
VfL_Wolfsburg,VfL Wolfsburg,2. Bundesliga,2._Bundesliga,Germany
Juventus_FC,Juventus FC,Serie A,Serie_A,Italy
Sporting_CP,Sporting CP,Primeira Liga,Primeira_Liga,Portugal
Liverpool_F.C.,Liverpool F.C.,Premier League,Premier_League,England
Al_Hilal_SFC,Al Hilal SFC,Saudi Pro League,Saudi_Pro_League,Saudi Arabia
RC_Lens,RC Lens,Ligue 1,Ligue_1,France
Celtic_F.C.,Celtic F.C.,Scottish Premiership,Scottish_Premiership,Scotland
Sunderland_A.F.C.,Sunderland A.F.C.,Premier League,Premier_League,England
Galatasaray_S.K._(football),Galatasaray S.K. (football),Süper Lig,S%C3%BCper_Lig,Turkey
SK_Slavia_Prague,SK Slavia Prague,Czech First League,Czech_First_League,Czech Republic
AS_Monaco_FC,AS Monaco FC,Ligue 1,Ligue_1,France
Newcastle_United_F.C.,Newcastle United F.C.,Premier League,Premier_League,England
Tottenham_Hotspur_F.C.,Tottenham Hotspur F.C.,Premier League,Premier_League,England
Atalanta_BC,Atalanta BC,Serie A,Serie_A,Italy
Inter_Milan,Inter Milan,Serie A,Serie_A,Italy
Jong_Ajax,Jong Ajax,Eerste Divisie,Eerste_Divisie,Netherlands
Jong_PSV,Jong PSV,Eerste Divisie,Eerste_Divisie,Netherlands
GNK_Dinamo_Zagreb,GNK Dinamo Zagreb,Croatian Football League,Croatian_Football_League,Croatia
Stade_Rennais_FC,Stade Rennais FC,Ligue 1,Ligue_1,France
OGC_Nice,OGC Nice,Ligue 1,Ligue_1,France
West_Ham_United_F.C.,West Ham United F.C.,EFL Championship,EFL_Championship,England
Everton_F.C.,Everton F.C.,Premier League,Premier_League,England
FC_Liefering,FC Liefering,2. Liga,2._Liga_(Austria),Austria
Borussia_M%C3%B6nchengladbach,Borussia Mönchengladbach,Bundesliga,Bundesliga,Germany
