Club,Name,League,Count
Manchester_City_F.C.,Manchester City F.C.,Premier League,40
FC_Bayern_Munich,FC Bayern Munich,Bundesliga,35
Chelsea_F.C.,Chelsea F.C.,Premier League,35
PSV_Eindhoven,PSV Eindhoven,Eredivisie,32
Manchester_United_F.C.,Manchester United F.C.,Premier League,31
S.L._Benfica,S.L. Benfica,Primeira Liga,29
Real_Madrid_CF,Real Madrid CF,La Liga,28
Arsenal_F.C.,Arsenal F.C.,Premier League,28
Borussia_Dortmund,Borussia Dortmund,Bundesliga,28
AFC_Ajax,AFC Ajax,Eredivisie,27
FC_Barcelona,FC Barcelona,La Liga,27
TSG_1899_Hoffenheim,TSG 1899 Hoffenheim,Bundesliga,26
AS_Roma,AS Roma,Serie A,26
Atl%C3%A9tico_Madrid,Atlético Madrid,La Liga,26
Olympique_de_Marseille,Olympique de Marseille,Ligue 1,26
RB_Leipzig,RB Leipzig,Bundesliga,25
AC_Milan,AC Milan,Serie A,25
Villarreal_CF,Villarreal CF,La Liga,24
Bayer_04_Leverkusen,Bayer 04 Leverkusen,Bundesliga,23
Club_Brugge_KV,Club Brugge KV,Belgian Pro League,23
Nottingham_Forest_F.C.,Nottingham Forest F.C.,Premier League,23
Brighton_%26_Hove_Albion_F.C.,Brighton & Hove Albion F.C.,Premier League,23
Wolverhampton_Wanderers_F.C.,Wolverhampton Wanderers F.C.,EFL Championship,22
FC_Schalke_04,FC Schalke 04,Bundesliga,22
Lille_OSC,Lille OSC,Ligue 1,22
Eintracht_Frankfurt,Eintracht Frankfurt,Bundesliga,22
FC_Porto,FC Porto,Primeira Liga,21
Fenerbah%C3%A7e_S.K._(football),Fenerbahçe S.K. (football),Süper Lig,21
Feyenoord,Feyenoord,Eredivisie,21
FC_Red_Bull_Salzburg,FC Red Bull Salzburg,Austrian Bundesliga,21
Paris_Saint-Germain_FC,Paris Saint-Germain FC,Ligue 1,21
Crystal_Palace_F.C.,Crystal Palace F.C.,Premier League,21
Aston_Villa_F.C.,Aston Villa F.C.,Premier League,21
Olympique_Lyonnais,Olympique Lyonnais,Ligue 1,20
VfB_Stuttgart,VfB Stuttgart,Bundesliga,20
VfL_Wolfsburg,VfL Wolfsburg,2. Bundesliga,20
Juventus_FC,Juventus FC,Serie A,20
Sporting_CP,Sporting CP,Primeira Liga,20
Liverpool_F.C.,Liverpool F.C.,Premier League,19
Al_Hilal_SFC,Al Hilal SFC,Saudi Pro League,19
RC_Lens,RC Lens,Ligue 1,19
Celtic_F.C.,Celtic F.C.,Scottish Premiership,18
Sunderland_A.F.C.,Sunderland A.F.C.,Premier League,18
Galatasaray_S.K._(football),Galatasaray S.K. (football),Süper Lig,18
SK_Slavia_Prague,SK Slavia Prague,Czech First League,17
AS_Monaco_FC,AS Monaco FC,Ligue 1,17
Newcastle_United_F.C.,Newcastle United F.C.,Premier League,17
Tottenham_Hotspur_F.C.,Tottenham Hotspur F.C.,Premier League,17
Atalanta_BC,Atalanta BC,Serie A,17
Inter_Milan,Inter Milan,Serie A,17
Jong_Ajax,Jong Ajax,Eerste Divisie,17
Jong_PSV,Jong PSV,Eerste Divisie,16
GNK_Dinamo_Zagreb,GNK Dinamo Zagreb,Croatian Football League,16
Stade_Rennais_FC,Stade Rennais FC,Ligue 1,16
OGC_Nice,OGC Nice,Ligue 1,16
West_Ham_United_F.C.,West Ham United F.C.,EFL Championship,15
Everton_F.C.,Everton F.C.,Premier League,15
FC_Liefering,FC Liefering,2. Liga,15
Borussia_M%C3%B6nchengladbach,Borussia Mönchengladbach,Bundesliga,15
BSC_Young_Boys,BSC Young Boys,Swiss Super League,15
Stade_de_Reims,Stade de Reims,Ligue 2,15
RC_Strasbourg_Alsace,RC Strasbourg Alsace,Ligue 1,15
Leicester_City_F.C.,Leicester City F.C.,EFL League One,15
S.L._Benfica_B,S.L. Benfica B,Liga Portugal 2,15
SC_Freiburg,SC Freiburg,Bundesliga,14
Real_Betis,Real Betis,La Liga,14
Fulham_F.C.,Fulham F.C.,Premier League,14
KRC_Genk,KRC Genk,Belgian Pro League,14
FC_Augsburg,FC Augsburg,Bundesliga,14
Watford_F.C.,Watford F.C.,EFL Championship,14
FC_Basel,FC Basel,Unknown,14
Le_Havre_AC,Le Havre AC,Ligue 1,14
Real_Sociedad,Real Sociedad,La Liga,14
FC_Groningen,FC Groningen,Eredivisie,14
Wellington_Phoenix_FC,Wellington Phoenix FC,A-League Men,14
Persepolis_F.C.,Persepolis F.C.,Persian Gulf Pro League,14
Al-Hussein_SC_(Irbid),Al-Hussein SC (Irbid),Jordanian Pro League,14
FC_Viktoria_Plze%C5%88,FC Viktoria Plzeň,Czech First League,13
Real_Madrid_Castilla,Real Madrid Castilla,Primera Federación,13
Birmingham_City_F.C.,Birmingham City F.C.,EFL Championship,13
Rangers_F.C.,Rangers F.C.,Scottish Premiership,13
FC_Bayern_Munich_II,FC Bayern Munich II,Regionalliga Bayern,13
AFC_Bournemouth,AFC Bournemouth,Premier League,13
Esteghlal_F.C.,Esteghlal F.C.,Persian Gulf Pro League,13
Toulouse_FC,Toulouse FC,Ligue 1,13
Al_Ahly_SC,Al Ahly SC,Egyptian Premier League,13
Girona_FC,Girona FC,Segunda División,12
AZ_Alkmaar,AZ Alkmaar,Eredivisie,12
Burnley_F.C.,Burnley F.C.,EFL Championship,12
Olympiacos_F.C.,Olympiacos F.C.,Super League Greece,12
FC_St._Pauli,FC St. Pauli,2. Bundesliga,12
Southampton_F.C.,Southampton F.C.,EFL Championship,12
Bologna_FC_1909,Bologna FC 1909,Serie A,12
Brentford_F.C.,Brentford F.C.,Premier League,12
Angers_SCO,Angers SCO,Ligue 1,12
