Player,Team,Confederation,Order,ClubSlug,ClubName,Years,StartYear,EndYear,Loan
Matěj Kovář,Czech Republic,UEFA,1,Manchester_United_F.C.,Manchester United,2020–2023,2020,2023,no
Matěj Kovář,Czech Republic,UEFA,2,Swindon_Town_F.C.,Swindon Town,2020–2021,2020,2021,yes
Matěj Kovář,Czech Republic,UEFA,3,Burton_Albion_F.C.,Burton Albion,2022,2022,2022,yes
Matěj Kovář,Czech Republic,UEFA,4,AC_Sparta_Prague,Sparta Prague,2022–2023,2022,2023,yes
Matěj Kovář,Czech Republic,UEFA,5,Bayer_04_Leverkusen,Bayer Leverkusen,2023–2026,2023,2026,no
Matěj Kovář,Czech Republic,UEFA,6,PSV_Eindhoven,PSV,2025–2026,2025,2026,yes
Matěj Kovář,Czech Republic,UEFA,7,PSV_Eindhoven,PSV,2026–,2026,,no
David Zima,Czech Republic,UEFA,1,SK_Sigma_Olomouc,Sigma Olomouc,2019–2020,2019,2020,no
David Zima,Czech Republic,UEFA,2,SK_Slavia_Prague,Slavia Prague,2020,2020,2020,yes
David Zima,Czech Republic,UEFA,3,SK_Slavia_Prague,Slavia Prague,2020–2021,2020,2021,no
David Zima,Czech Republic,UEFA,4,Torino_F.C.,Torino,2021–2024,2021,2024,no
David Zima,Czech Republic,UEFA,5,SK_Slavia_Prague,Slavia Prague,2024–,2024,,no
Tomáš Holeš,Czech Republic,UEFA,1,FC_Hradec_Kr%C3%A1lov%C3%A9,Hradec Králové,2012–2018,2012,2018,no
Tomáš Holeš,Czech Republic,UEFA,2,FK_Jablonec,Jablonec,2017–2018,2017,2018,yes
Tomáš Holeš,Czech Republic,UEFA,3,FK_Jablonec,Jablonec,2018–2019,2018,2019,no
Tomáš Holeš,Czech Republic,UEFA,4,SK_Slavia_Prague,Slavia Prague,2019–,2019,,no
Robin Hranáč,Czech Republic,UEFA,1,FC_Viktoria_Plze%C5%88,Viktoria Plzeň,2018–2024,2018,2024,no
Robin Hranáč,Czech Republic,UEFA,2,FC_Viktoria_Plze%C5%88,Viktoria Plzeň B,2018–2021,2018,2021,yes
Robin Hranáč,Czech Republic,UEFA,3,MFK_Tatran_Liptovsk%C3%BD_Mikul%C3%A1%C5%A1,Liptovský Mikuláš,2021,2021,2021,yes
Robin Hranáč,Czech Republic,UEFA,4,FK_Pardubice,Pardubice,2022–2023,2022,2023,yes
Robin Hranáč,Czech Republic,UEFA,5,TSG_1899_Hoffenheim,TSG Hoffenheim,2024–,2024,,no
Vladimír Coufal,Czech Republic,UEFA,1,FC_Hlu%C4%8D%C3%ADn,Hlučín,2010–2012,2010,2012,no
Vladimír Coufal,Czech Republic,UEFA,2,SFC_Opava,Opava,2012,2012,2012,yes
Vladimír Coufal,Czech Republic,UEFA,3,FC_Slovan_Liberec,Slovan Liberec,2012–2018,2012,2018,no
Vladimír Coufal,Czech Republic,UEFA,4,SK_Slavia_Praha,Slavia Prague,2018–2020,2018,2020,no
Vladimír Coufal,Czech Republic,UEFA,5,West_Ham_United_F.C.,West Ham United,2020–2025,2020,2025,no
Vladimír Coufal,Czech Republic,UEFA,6,TSG_1899_Hoffenheim,TSG Hoffenheim,2025–,2025,,no
Štěpán Chaloupek,Czech Republic,UEFA,1,FK_Teplice,Teplice,2022–2024,2022,2024,no
Štěpán Chaloupek,Czech Republic,UEFA,2,SK_Slavia_Prague,Slavia Prague,2024–,2024,,no
Štěpán Chaloupek,Czech Republic,UEFA,3,SK_Slavia_Prague_B,Slavia Prague B,2024–2025,2024,2025,no
Ladislav Krejčí,Czech Republic,UEFA,1,FC_Zbrojovka_Brno,Zbrojovka Brno,2016−2019,2016,2016,no
Ladislav Krejčí,Czech Republic,UEFA,2,AC_Sparta_Prague,Sparta Prague,2019–2024,2019,2024,no
Ladislav Krejčí,Czech Republic,UEFA,3,Girona_FC,Girona,2024–,2024,,no
Ladislav Krejčí,Czech Republic,UEFA,4,Wolverhampton_Wanderers_F.C.,Wolverhampton Wanderers,2025–,2025,,yes
Vladimír Darida,Czech Republic,UEFA,1,FC_Viktoria_Plze%C5%88,Viktoria Plzeň,2010–2013,2010,2013,no
Vladimír Darida,Czech Republic,UEFA,2,FK_Ban%C3%ADk_Sokolov,Sokolov,2011,2011,2011,yes
Vladimír Darida,Czech Republic,UEFA,3,SC_Freiburg,Freiburg,2013–2015,2013,2015,no
Vladimír Darida,Czech Republic,UEFA,4,Hertha_BSC,Hertha BSC,2015–2022,2015,2022,no
Vladimír Darida,Czech Republic,UEFA,5,Aris_Thessaloniki_F.C.,Aris,2022–2025,2022,2025,no
