League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
Premier League,England,Premier_League,Premier League,1,[[English football league system|1]],ok,
Bundesliga,Germany,Bundesliga,Bundesliga,1,[[German football league system|1]],ok,
Eredivisie,Netherlands,Eredivisie,Eredivisie,1,[[Dutch football league system#Men|1]],ok,
Primeira Liga,Portugal,Primeira_Liga,Primeira Liga,1,[[Portuguese football league system|1]],ok,
La Liga,Spain,La_Liga,La Liga,1,[[Spanish football league system|1st]],ok,
Serie A,Italy,Serie_A,Serie A,1,[[Italian football league system|1]],ok,
Ligue 1,France,Ligue_1,Ligue 1,1,[[French football league system|1]],ok,
Belgian Pro League,Belgium,Belgian_Pro_League,Belgian Pro League,1,[[Belgian football league system|1]],ok,
EFL Championship,England,EFL_Championship,EFL Championship,2,[[English football league system|2]],ok,
Süper Lig,Turkey,S%C3%BCper_Lig,Süper Lig,1,[[Turkish football league system|1]],ok,
Austrian Bundesliga,Austria,Austrian_Football_Bundesliga,Austrian Football Bundesliga,1,1,ok,
2. Bundesliga,Germany,2._Bundesliga,2. Bundesliga,2,2,ok,
Saudi Pro League,Saudi Arabia,Saudi_Pro_League,Saudi Pro League,1,[[Saudi football league system|1]],ok,
Scottish Premiership,Scotland,Scottish_Premiership,Scottish Premiership,1,[[Scottish football league system|1]],ok,
Czech First League,Czech Republic,Czech_First_League,Czech First League,1,1,ok,
Eerste Divisie,Netherlands,Eerste_Divisie,Eerste Divisie,2,2,ok,
Croatian Football League,Croatia,Croatian_Football_League,Croatian Football League,1,1,ok,
2. Liga,Austria,2._Liga_(Austria),2. Liga (Austria),2,2,ok,2. Liga (Austria)
Swiss Super League,Switzerland,Swiss_Super_League,Swiss Super League,1,[[Swiss football league system|1]],ok,
Ligue 2,France,Ligue_2,Ligue 2,2,2,ok,
EFL League One,England,EFL_League_One,EFL League One,3,[[English football league system|3]],ok,
Liga Portugal 2,Portugal,Liga_Portugal_2,Liga Portugal 2,2,[[Portuguese football league system|2]],ok,
A-League Men,Australia,A-League_Men,A-League Men,1,[[Australian soccer league system|1]],ok,
Persian Gulf Pro League,Iran,Persian_Gulf_Pro_League,Persian Gulf Pro League,1,[[Iranian football league system|1]],ok,
Jordanian Pro League,Jordan,Jordanian_Pro_League,Jordanian Pro League,1,1,ok,
Primera Federación,Spain,Primera_Federaci%C3%B3n,Primera Federación,3,3,ok,
Regionalliga Bayern,Germany,Regionalliga_Bayern,Regionalliga Bayern,4,[[German football league system|4]],ok,
Egyptian Premier League,Egypt,Egyptian_Premier_League,Egyptian Premier League,1,1,ok,
Segunda División,Spain,Segunda_Divisi%C3%B3n,Segunda División,2,[[Spanish football league system|2]],ok,
Super League Greece,Greece,Super_League_Greece,Super League Greece,1,[[Greek football league system|1]],ok,
Central League,New Zealand,Central_League_(New_Zealand),Central League (New Zealand),2,[[New Zealand football league system|2]],ok,
Superliga,Denmark,Danish_Superliga,Danish Superliga,1,1,ok,Danish Superliga
Liga MX,Mexico,Liga_MX,Liga MX,1,[[Mexican football league system|1]],ok,
Major League Soccer,United States,Major_League_Soccer,Major League Soccer,1,[[United States soccer league system|1]],ok,
Qatar Stars League,Qatar,Qatar_Stars_League,Qatar Stars League,1,1,ok,Qatari Stars League
Campeonato Brasileiro Série A,Brazil,Campeonato_Brasileiro_S%C3%A9rie_A,Campeonato Brasileiro Série A,1,[[Brazilian football league system|1]],ok,
Primera División,Argentina,Argentine_Primera_Divisi%C3%B3n,AFA Liga Profesional de Fútbol,1,1,ok,Liga Profesional; Liga Profesional de Fútbol
Iraq Stars League,Iraq,Iraq_Stars_League,Iraq Stars League,1,1,ok,
South African Premiership,South Africa,South_African_Premiership,South African Premiership,1,1,ok,Premiership
Ecuadorian Serie A,Ecuador,Ecuadorian_Serie_A,LigaPro Serie A,1,1,ok,LigaPro Serie A; Serie A
K League 1,South Korea,K_League_1,K League 1,1,[[South Korean football league system|1]],ok,
Regionalliga West,Germany,Regionalliga_West,Regionalliga West,4,[[German football league system|Level 4]],ok,
Championnat National 2 (National 2),France,Championnat_National_3,Championnat National 2,5,5,ok,Championnat National 2; Championnat National 3; National 2; National 3
Uzbekistan Super League,Uzbekistan,Uzbekistan_Super_League,Uzbekistan Super League,1,1,ok,
Segunda Federación,Spain,Segunda_Federaci%C3%B3n,Segunda Federación,4,4,ok,
3. Liga,Germany,3._Liga,3. Liga,3,3,ok,
Liga AUF Uruguaya,Uruguay,Liga_AUF_Uruguaya,Liga AUF Uruguaya,1,[[Officials championships of football of Uruguay|1]],ok,
Serbian SuperLiga,Serbia,Serbian_SuperLiga,Serbian SuperLiga,1,1,ok,
División de Honor,Paraguay,APF_Divisi%C3%B3n_de_Honor,APF División de Honor,1,1,ok,Primera División
Allsvenskan,Sweden,Allsvenskan,Allsvenskan,1,[[Swedish football league system|1]],ok,
Categoría Primera A,Colombia,Categor%C3%ADa_Primera_A,Liga DIMAYOR,1,1,ok,
