Player,Team,Position,DOB
Matěj Kovář,Czech Republic,Goalkeeper,2000-05-17
David Zima,Czech Republic,Defender,2000-11-08
Tomáš Holeš,Czech Republic,Centre-back,1993-03-31
Robin Hranáč,Czech Republic,Defender,2000-01-29
Vladimír Coufal,Czech Republic,Right-back,1992-08-22
Štěpán Chaloupek,Czech Republic,Centre-back,2003-03-08
Ladislav Krejčí,Czech Republic,Centre-back,1999-04-20
Vladimír Darida,Czech Republic,Midfielder,1990-08-08
Adam Hložek,Czech Republic,Winger,2002-07-25
Patrik Schick,Czech Republic,Striker,1996-01-24
Jan Kuchta,Czech Republic,Forward,1997-01-08
Lukáš Červ,Czech Republic,Central midfielder,2001-04-10
Mojmír Chytil,Czech Republic,Forward,1999-04-29
David Jurásek,Czech Republic,Left-back,2000-08-07
Pavel Šulc,Czech Republic,Attacking midfielder,2000-12-29
Jindřich Staněk,Czech Republic,Goalkeeper,1996-04-27
Lukáš Provod,Czech Republic,Left winger,1996-10-23
Michal Sadílek,Czech Republic,Midfielder,1999-05-31
Tomáš Chorý,Czech Republic,Forward,1995-01-26
Jaroslav Zelený,Czech Republic,Left-back,1992-08-20
David Douděra,Czech Republic,Right midfielder,1998-05-31
Tomáš Souček,Czech Republic,Midfielder,1995-02-27
Lukáš Horníček,Czech Republic,Goalkeeper,2002-07-13
Alexandr Sojka,Czech Republic,Midfielder,2003-04-02
Hugo Sochůrek,Czech Republic,Midfielder,2008-06-07
Denis Višinský,Czech Republic,Winger,2003-03-21
Raúl Rangel,Mexico,Goalkeeper,2000-02-25
Jorge Sánchez,Mexico,Right-back,1997-12-10
César Montes,Mexico,Centre-back,1997-02-24
Edson Álvarez,Mexico,Defensive midfielder,1997-10-24
Johan Vásquez,Mexico,Centre-back,1998-10-22
Érik Lira,Mexico,Defensive midfielder,2000-05-08
Luis Romo,Mexico,Defensive midfielder,1995-06-05
Álvaro Fidalgo,Mexico,Midfielder,1997-04-09
Raúl Jiménez,Mexico,Striker,1991-05-05
Alexis Vega,Mexico,Winger,1997-11-25
Santiago Giménez,Mexico,Striker,2001-04-18
Carlos Acevedo,Mexico,Goalkeeper,1996-04-19
Guillermo Ochoa,Mexico,Goalkeeper,1985-07-13
Armando González,Mexico,Forward,2003-04-20
Israel Reyes,Mexico,Centre-back,2000-05-23
Julián Quiñones,Mexico,Forward,1997-03-24
Orbelín Pineda,Mexico,Midfielder,1996-03-24
Obed Vargas,Mexico,Central midfielder,2005-08-05
Gilberto Mora,Mexico,Attacking midfielder,2008-10-14
Mateo Chávez,Mexico,Left-back,2004-05-12
César Huerta,Mexico,Winger,2000-12-03
Guillermo Martínez,Mexico,Forward,1995-03-15
Jesús Gallardo,Mexico,Left-back,1994-08-15
Luis Chávez,Mexico,Midfielder,1996-01-15
Roberto Alvarado,Mexico,Winger,1998-09-07
Brian Gutiérrez,Mexico,Attacking midfielder,2003-06-17
Ronwen Williams,South Africa,Goalkeeper,1992-01-21
Thabang Matuludi,South Africa,Defender,1999-01-14
Khulumani Ndamane,South Africa,Centre-back,2004-02-05
Teboho Mokoena,South Africa,Midfielder,1997-01-24
Thalente Mbatha,South Africa,Defensive midfielder,2000-03-06
Aubrey Modiba,South Africa,Left back,1995-07-22
Oswin Appollis,South Africa,Left winger,2001-08-25
Tshepang Moremi,South Africa,Winger,2000-10-02
Lyle Foster,South Africa,Forward,2000-09-03
Relebohile Mofokeng,South Africa,Attacking midfielder,2004-10-23
Themba Zwane,South Africa,Attacking midfielder,1989-08-03
Thapelo Maseko,South Africa,Winger,2003-11-11
Sphephelo Sithole,South Africa,Midfielder,1999-03-03
Mbekezeli Mbokazi,South Africa,Defender,2005-09-19
Iqraam Rayners,South Africa,Forward,1995-12-19
Sipho Chaine,South Africa,Goalkeeper,1996-12-14
Evidence Makgopa,South Africa,Forward,2000-06-05
Samukele Kabini,South Africa,Defender,2004-03-15
Nkosinathi Sibisi,South Africa,Defender,1995-09-22
Khuliso Mudau,South Africa,Right back,1995-04-26
Ime Okon,South Africa,Defender,2004-02-20
Ricardo Goss,South Africa,Goalkeeper,1994-04-02
Jayden Adams,South Africa,Midfielder,2001-05-05
Olwethu Makhanya,South Africa,Defender,2004-04-30
Kamogelo Sebelebele,South Africa,Midfielder,2002-07-21
Bradley Cross,South Africa,Left-back,2001-01-30
Kim Seung-gyu,South Korea,Goalkeeper,1990-09-30
Lee Han-beom,South Korea,Centre-back,2002-06-17
Lee Gi-hyuk,South Korea,Centre-back,2000-07-07
Kim Min-jae,South Korea,Centre-back,1996-11-15
Kim Tae-hyeon,South Korea,Centre-back,2000-09-17
Hwang In-beom,South Korea,Midfielder,1996-09-20
Son Heung-min,South Korea,Forward,1992-07-08
Paik Seung-ho,South Korea,Central midfielder,1997-03-17
Cho Gue-sung,South Korea,Striker,1998-01-25
Lee Jae-sung,South Korea,Attacking midfielder,1992-08-10
Hwang Hee-chan,South Korea,Forward,1996-01-26
Song Bum-keun,South Korea,Goalkeeper,1997-10-15
Lee Tae-seok,South Korea,Left back,2002-07-28
Cho Wi-je,South Korea,Centre-back,2001-08-25
Kim Moon-hwan,South Korea,Right-back,1995-08-01
Park Jin-seob,South Korea,Defensive midfielder,1995-10-23
Bae Jun-ho,South Korea,Attacking midfielder,2003-08-21
Oh Hyeon-gyu,South Korea,Forward,2001-04-12
Lee Kang-in,South Korea,Attacking midfielder,2001-02-19
Yang Hyun-jun,South Korea,Winger,2002-05-25
Jo Hyeon-woo,South Korea,Goalkeeper,1991-09-25
Seol Young-woo,South Korea,Full-back,1998-12-05
Jens Castrop,South Korea,Midfielder,2003-07-29
Kim Jin-gyu,South Korea,Midfielder,1997-02-24
Eom Ji-sung,South Korea,Winger,2002-05-09
Lee Dong-gyeong,South Korea,Attacking midfielder,1997-09-20
Nikola Vasilj,Bosnia and Herzegovina,Goalkeeper,1995-12-02
Nihad Mujakić,Bosnia and Herzegovina,Centre-back,1998-04-15
Dennis Hadžikadunić,Bosnia and Herzegovina,Centre-back,1998-07-09
Tarik Muharemović,Bosnia and Herzegovina,Centre-back,2003-02-28
